,Boost class num,boost test err,boost train err
71,71,"0.2718913396237755,0.2770148446421059,0.27806659054029687,0.2867960814952822,0.27147064126449905,0.278892962317447,0.26059258368892363,0.2866157821984494,0.2736492577678947,0.2634623474968448","0.257,0.251,0.254,0.245,0.235,0.265,0.224,0.252,0.252,0.239"
73,73,"0.2658062383556704,0.2710198930224172,0.27440050483803113,0.2728529358735501,0.27382955706472745,0.2680299296832742,0.2849480137027466,0.2827243223751427,0.25964601238055174,0.27578279944708217","0.244,0.242,0.265,0.243,0.264,0.255,0.269,0.258,0.249,0.244"
75,75,"0.2634623474968448,0.26935212452671436,0.2624857263056674,0.2625458260712783,0.26810505439028787,0.268210228980107,0.2807109802271771,0.28337039485546006,0.28045555622333074,0.264333794098203","0.236,0.263,0.242,0.237,0.221,0.229,0.26,0.232,0.236,0.255"
77,77,"0.2732285594086183,0.26905162569865976,0.2670082336678887,0.2734839834124647,0.27067431937015446,0.27821683995432417,0.26226035218462646,0.26699320872648596,0.2755574253260412,0.27730031852875775","0.245,0.224,0.252,0.252,0.266,0.223,0.247,0.261,0.269,0.281"
79,79,"0.266437285894585,0.27237213774866276,0.2763236973375804,0.2643638439810085,0.26556583929322675,0.26425866939118936,0.2750616022597512,0.27540717591201397,0.2554690786705932,0.26111845663801914","0.254,0.264,0.274,0.249,0.244,0.248,0.233,0.251,0.237,0.265"
81,81,"0.25467275677624857,0.2843470160466374,0.27910331149708517,0.26640723601177957,0.2726275617525092,0.2553338541979686,0.26571608870725405,0.28009495762966524,0.27214676362762186,0.28047058116473345","0.236,0.259,0.277,0.222,0.246,0.249,0.233,0.239,0.248,0.271"
83,83,"0.2734990083538674,0.2721016888034137,0.28580443536270206,0.2689464511088407,0.29901135885570046,0.28563916100727205,0.28784782739347314,0.2802151571608871,0.2702536210108781,0.2718913396237755","0.238,0.259,0.255,0.244,0.267,0.28,0.258,0.278,0.238,0.237"
85,85,"0.26978784782739346,0.26556583929322675,0.27716509405613315,0.27952400985636155,0.2737243824749083,0.2722819881002464,0.26905162569865976,0.274130055892782,0.27071939419436264,0.27699981970070314","0.242,0.236,0.27,0.26,0.236,0.266,0.266,0.243,0.241,0.24"
87,87,"0.27609832321653943,0.2738746318889356,0.2866608570226576,0.27049402007332174,0.27620349780635856,0.2772251938217441,0.25482300619027587,0.2620049281807801,0.26496484163711764,0.2671134082577078","0.277,0.25,0.241,0.264,0.287,0.261,0.265,0.252,0.258,0.234"
89,89,"0.266437285894585,0.27872768796201697,0.2653254402307831,0.26885630146042433,0.27788629124346415,0.2603371596850772,0.25987138650159264,0.2728228859907446,0.2703738205420999,0.2857142857142857","0.266,0.244,0.231,0.226,0.249,0.243,0.248,0.242,0.239,0.254"
91,91,"0.2766993208726486,0.27515175190816754,0.2639882204459403,0.27757076747400683,0.2682703287457179,0.27799146583328327,0.26702325860929144,0.26161427970430917,0.2772402187631468,0.25812849329887616","0.279,0.252,0.247,0.249,0.275,0.253,0.248,0.245,0.251,0.254"
93,93,"0.275181801790973,0.27624857263056674,0.28063585552016346,0.2734990083538674,0.2768645952280786,0.25787306929502973,0.2700582967726426,0.28889957329166416,0.2699080473586153,0.26757918144119236","0.252,0.24,0.268,0.224,0.246,0.242,0.244,0.255,0.259,0.244"
95,95,"0.27641384698599675,0.2647094176332712,0.26428871927399483,0.27366428270929744,0.27986958350862434,0.2773303684115632,0.27292806058056374,0.271140092553639,0.28610493419075667,0.27124526714345815","0.27,0.27,0.252,0.249,0.289,0.261,0.263,0.243,0.278,0.254"
97,97,"0.27277781116653643,0.2772101688803414,0.2717110403269427,0.2736492577678947,0.28560911112446663,0.27847226395817054,0.2842869162810265,0.2707494440771681,0.2667828595468478,0.26422861950838394","0.244,0.255,0.266,0.235,0.235,0.275,0.269,0.223,0.251,0.243"
99,99,"0.2636276218522748,0.26023198509525813,0.2711701424364445,0.26699320872648596,0.2785173387823788,0.2608780575755755,0.26497986657852035,0.2715457659715127,0.2805306809303444,0.2713804916160827","0.244,0.207,0.245,0.242,0.226,0.233,0.252,0.239,0.261,0.256"
