,Boost class num,boost test err,boost train err
199,199,"0.031496062992125984,0.027559055118110236,0.05905511811023622,0.027559055118110236,0.03937007874015748,0.05511811023622047,0.06299212598425197,0.047244094488188976,0.06299212598425197,0.027559055118110236","0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556"
205,205,"0.07480314960629922,0.04330708661417323,0.03937007874015748,0.047244094488188976,0.051181102362204724,0.051181102362204724,0.05905511811023622,0.03937007874015748,0.03543307086614173,0.047244094488188976","0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.011111111111111112,0.005555555555555556"
211,211,"0.03937007874015748,0.031496062992125984,0.07086614173228346,0.05905511811023622,0.031496062992125984,0.03543307086614173,0.05511811023622047,0.031496062992125984,0.051181102362204724,0.051181102362204724","0.0,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.005555555555555556"
217,217,"0.03937007874015748,0.04330708661417323,0.05511811023622047,0.03937007874015748,0.047244094488188976,0.051181102362204724,0.031496062992125984,0.05905511811023622,0.05905511811023622,0.03937007874015748","0.005555555555555556,0.005555555555555556,0.005555555555555556,0.011111111111111112,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.011111111111111112"
223,223,"0.03543307086614173,0.051181102362204724,0.05511811023622047,0.08267716535433071,0.031496062992125984,0.047244094488188976,0.06692913385826772,0.06692913385826772,0.03543307086614173,0.03937007874015748","0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556"
229,229,"0.06692913385826772,0.03937007874015748,0.023622047244094488,0.047244094488188976,0.03937007874015748,0.051181102362204724,0.04330708661417323,0.03937007874015748,0.05511811023622047,0.06299212598425197","0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0"
235,235,"0.07480314960629922,0.05905511811023622,0.06692913385826772,0.07086614173228346,0.051181102362204724,0.07086614173228346,0.047244094488188976,0.03937007874015748,0.051181102362204724,0.04330708661417323","0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556"
241,241,"0.05511811023622047,0.05905511811023622,0.06299212598425197,0.05511811023622047,0.03937007874015748,0.06299212598425197,0.07480314960629922,0.05905511811023622,0.05511811023622047,0.047244094488188976","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0"
247,247,"0.06299212598425197,0.051181102362204724,0.023622047244094488,0.03937007874015748,0.03543307086614173,0.06692913385826772,0.05511811023622047,0.06692913385826772,0.05511811023622047,0.06299212598425197","0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0"
253,253,"0.04330708661417323,0.05511811023622047,0.07086614173228346,0.05905511811023622,0.03937007874015748,0.047244094488188976,0.08267716535433071,0.05905511811023622,0.07480314960629922,0.027559055118110236","0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0"
259,259,"0.047244094488188976,0.03937007874015748,0.04330708661417323,0.047244094488188976,0.04330708661417323,0.051181102362204724,0.047244094488188976,0.04330708661417323,0.047244094488188976,0.047244094488188976","0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556"
265,265,"0.04330708661417323,0.03937007874015748,0.05905511811023622,0.047244094488188976,0.04330708661417323,0.04330708661417323,0.031496062992125984,0.03543307086614173,0.06692913385826772,0.04330708661417323","0.005555555555555556,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.0"
271,271,"0.05905511811023622,0.047244094488188976,0.07480314960629922,0.05905511811023622,0.08267716535433071,0.04330708661417323,0.03543307086614173,0.051181102362204724,0.03937007874015748,0.023622047244094488","0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.011111111111111112"
277,277,"0.03543307086614173,0.07480314960629922,0.047244094488188976,0.07480314960629922,0.05511811023622047,0.06299212598425197,0.051181102362204724,0.04330708661417323,0.06299212598425197,0.051181102362204724","0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0"
283,283,"0.06299212598425197,0.03543307086614173,0.05905511811023622,0.05511811023622047,0.051181102362204724,0.051181102362204724,0.051181102362204724,0.03937007874015748,0.03543307086614173,0.031496062992125984","0.0,0.0,0.0,0.0,0.011111111111111112,0.005555555555555556,0.0,0.011111111111111112,0.005555555555555556,0.0"
289,289,"0.03543307086614173,0.04330708661417323,0.04330708661417323,0.05905511811023622,0.047244094488188976,0.03543307086614173,0.06299212598425197,0.051181102362204724,0.05905511811023622,0.03937007874015748","0.0,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0"
295,295,"0.05511811023622047,0.05511811023622047,0.051181102362204724,0.06692913385826772,0.051181102362204724,0.04330708661417323,0.03937007874015748,0.06299212598425197,0.047244094488188976,0.051181102362204724","0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0,0.0"
